year,emirate,population,urban_density,gdp_per_capita
2024,Abu Dhabi,3664686,37.70253584024889,117000.0
2024,Dubai,3718615,904.7726268818091,44000.0
2024,Sharjah,1781454,687.8201770889119,32000.0
2024,Ajman,515059,1119.6943258488002,28000.0
2024,Umm Al Quwain,299725,416.285626068211,26000.0
2024,Ras Al Khaimah,348827,207.14213879374026,29000.0
2024,Fujairah,282524,194.84425268460276,31000.0
2025,Abu Dhabi,3939745,40.53236091457823,120510.0
2025,Dubai,3834361,932.9347904775492,45320.0
2025,Sharjah,1853182,715.514661726124,32960.0
2025,Ajman,513954,1117.2934425483718,28840.0
2025,Umm Al Quwain,306367,425.5106821778651,26780.0
2025,Ras Al Khaimah,356212,211.5275963547402,29870.0
2025,Fujairah,301134,207.67873864433705,31930.0
2026,Abu Dhabi,3995912,41.110213149790525,124125.29999999999
2026,Dubai,3852723,937.402372013083,46679.6
2026,Sharjah,1871050,722.4133393081885,33948.799999999996
2026,Ajman,526855,1145.337755115551,29705.199999999997
2026,Umm Al Quwain,308378,428.30386698803824,27583.399999999998
2026,Ras Al Khaimah,356534,211.71890274500024,30766.1
2026,Fujairah,308153,212.51956471162137,32887.9
2027,Abu Dhabi,4088791,42.06575185849447,127849.059
2027,Dubai,4128776,1004.568489753034,48079.988
2027,Sharjah,1924223,742.943377932612,34967.264
2027,Ajman,568408,1235.6698534944742,30596.356
2027,Umm Al Quwain,314970,437.4595865876894,28410.902000000002
2027,Ras Al Khaimah,377780,224.33524602289526,31689.083
2027,Fujairah,317640,219.0624298591895,33874.537
2028,Abu Dhabi,4117594,42.36207842177602,131684.53077
2028,Dubai,4166617,1013.775636311418,49522.38764000001
2028,Sharjah,2013756,777.5122542341021,36016.28192
2028,Ajman,585024,1271.7922274165292,31514.246680000004
2028,Umm Al Quwain,322555,447.9938311627163,29263.229060000005
2028,Ras Al Khaimah,384699,228.44417869872996,32639.755490000003
2028,Fujairah,317493,218.9607946064704,34890.77311
2029,Abu Dhabi,4311296,44.35490080241498,135635.0666931
2029,Dubai,4241995,1032.115656949755,51008.05926920001
2029,Sharjah,2124985,820.4576819006066,37096.770377600005
2029,Ajman,577113,1254.5949788717894,32459.6740804
2029,Umm Al Quwain,341798,474.7195743259196,30141.1259318
2029,Ras Al Khaimah,416131,247.10918992545,33618.9481547
2029,Fujairah,314127,216.63942367461868,35937.4963033
2030,Abu Dhabi,4293478,44.17158758093124,139704.11869389302
2030,Dubai,4589436,1116.651256629629,52538.30104727601
2030,Sharjah,2131776,823.07985567144,38209.673488928005
